[2019-08-08 17:31:31] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:32] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:33] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:34] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:35] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:36] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:37] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:38] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:39] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:40] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:41] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:42] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:43] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:44] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:45] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:46] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:47] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:48] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:49] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:50] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:51] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:52] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:53] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:54] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:55] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:56] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:57] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:58] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:31:59] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:00] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:01] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:02] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:03] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:04] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:05] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:06] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:07] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:08] Debug: [] [0] memory total: 835472   app used: 36676
[2019-08-08 17:32:09] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:10] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:11] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:12] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:13] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:14] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:15] Debug: [] [0] memory total: 835472   app used: 36668
